misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
1080,518880,115,-14.370891219999997,1.4177641153335572,-2.9793241992592812e-06,6.706390024721623
1100,528480,115,-15.092693509999997,1.4179778099060059,-1.601874828338623e-06,4.794950020313263
1120,538080,115,-13.78315872,1.4175575017929076,-2.546235918998718e-07,5.3646748483181
1140,547680,115,-11.918447039999998,1.4171069622039796,-1.7844140529632568e-06,0.35398277044296267
1160,557280,115,-12.300391050000004,1.4166852235794067,-9.015202522277832e-08,6.820912726223469
1180,566880,115,-16.01352492,1.4166758179664611,-8.884817361831665e-07,15.273723363876343
1200,576480,115,-15.417082919999999,1.416502630710602,-1.1146068572998046e-06,9.181076097488404
1220,586080,115,-14.28005257,1.416703987121582,-1.2264586985111237e-06,10.792426705360413
1240,595680,115,-14.71952982,1.416627323627472,-1.2777745723724364e-07,6.65376016497612
1260,605280,115,-13.79887173,1.4163052439689636,-4.887580871582031e-07,6.214332593977451
1280,614880,115,-13.940867900000002,1.4163856267929078,-1.6082078218460083e-06,12.125187301635743
1300,624480,115,-15.787683140000002,1.4162650942802428,-2.790242433547974e-07,16.264507293701172
1320,634080,115,-14.11091407,1.4165049910545349,1.428648829460144e-07,8.855241259932518
1340,643680,115,-14.096444669999999,1.4168353796005249,-1.2479722499847412e-06,17.9443019926548
1360,653280,115,-15.916222439999997,1.4165629267692565,-1.7015263438224791e-07,13.935554957389831
1380,662880,115,-15.221889030000002,1.4170555591583252,3.7997961044311523e-07,9.084496355056762
1400,672480,115,-14.82540031,1.4169321537017823,-2.666190266609192e-06,0.22183313667774202
1420,682080,115,-15.456704040000002,1.4167980551719666,4.075467586517334e-07,10.808825466036797
1440,691680,115,-14.89759358,1.416508400440216,-2.8461217880249026e-07,9.686443077027798
1460,701280,115,-15.393928770000002,1.4164494156837464,-1.7391052097082137e-06,13.076589238643646
1480,710880,115,-15.30189738,1.4163539052009582,-2.0712614059448242e-06,12.761822792887688
1500,720480,115,-15.10885545,1.4168147802352906,-2.12155282497406e-06,14.670405721664428
1520,730080,115,-13.376484900000001,1.4170528531074524,-8.903443813323975e-07,3.2972711652517317
1540,739680,115,-13.985413850000002,1.4171155095100403,-3.240443766117096e-06,8.859732550382613
1560,749280,115,-15.460445219999999,1.4168681979179383,1.3247597962617875e-06,6.913723626732827
1580,758880,115,-13.670987640000003,1.4166218757629394,-6.765127182006836e-07,8.77353368997574
1600,768480,115,-13.139459050000001,1.4166411876678466,-5.280226469039917e-06,8.015510439872742
1620,778080,115,-15.95528743,1.4164555191993713,-2.7339905500411986e-06,23.129223251342772
1640,787680,115,-13.668304169999999,1.41602965593338,-5.476176738739014e-07,6.967551356554031
1660,797280,115,-13.759915590000002,1.4159339547157288,-1.9818544387817384e-07,6.620871526002884
1680,806880,115,-14.693722430000001,1.4157631754875184,-2.592802047729492e-06,5.031849755346775
1700,816480,115,-13.963784079999998,1.4156721591949464,-3.154948353767395e-06,5.306172427535057
1720,826080,115,-10.112273989999998,1.415410566329956,-3.60049307346344e-07,4.304542472958564
1740,835680,115,-14.118316370000002,1.4153208494186402,-2.9616057872772217e-07,6.964494755864143
1760,845280,115,-14.809760730000002,1.4152889609336854,-1.7642974853515626e-06,10.945042824745178
1780,854880,115,-14.120978410000003,1.4149474382400513,-1.3224780559539795e-07,7.957022094726563
1800,864480,115,-16.29414716,1.4151007533073425,-1.2595206499099732e-06,12.809082961082458
1820,874080,115,-13.27923843,1.4150044679641725,-5.786120891571045e-06,3.7615626603364944
1840,883680,115,-14.378677079999997,1.41518976688385,-1.3113021850585939e-07,5.745893368124962
1860,893280,115,-13.811508289999999,1.4155187368392945,-2.3990869522094727e-06,0.35663692057132723
1880,902880,115,-15.191287370000003,1.41544052362442,-1.008063554763794e-06,9.59428338855505
1900,912480,115,-14.554417139999998,1.4152902245521546,-2.284348011016846e-06,11.28609471321106
1920,922080,115,-14.217157319999998,1.4149487376213075,-2.1070241928100587e-06,5.352585971355438
1940,931680,115,-14.295428209999997,1.414556097984314,-9.291991591453553e-06,2.8336147010326385
1960,941280,115,-15.130650300000003,1.4143671870231629,6.147660315036774e-07,7.051036286354065
1980,950880,115,-14.7347316,1.4141176462173461,-8.471310138702393e-07,10.066296416521073
2000,960480,115,-13.783180559999998,1.4135444402694701,-1.174379140138626e-05,11.452071234583855
2020,970080,115,-13.810279080000003,1.4128512620925904,1.2718141078948974e-06,10.247958466410637
2040,979680,115,-14.519419749999999,1.4126203894615172,-1.0257586836814881e-06,7.764683401584625
2060,989280,115,-15.163239229999999,1.412456476688385,-1.2860633432865144e-06,0.288810496032238
2080,998880,115,-13.28871492,1.4118724822998048,-8.560717105865479e-07,4.127386263012886
2100,1008480,115,-12.124787689999998,1.4119318962097167,-3.0897557735443114e-06,6.356827536225319
2120,1018080,115,-13.37224913,1.4116978406906129,-1.8816441297531129e-06,8.072000765800476
2140,1027680,115,-14.254893380000004,1.411262333393097,-2.0578503608703612e-06,6.850340431928634
2160,1037280,115,-13.34615493,1.4113936066627502,3.1068921089172365e-07,15.960214233398437
2180,1046880,115,-14.884533049999998,1.4114058494567872,-5.650520324707031e-06,14.286049103736877
2200,1056480,115,-15.57220343,1.4113451719284058,-1.0356307029724121e-06,11.404194185137749
